,DATE,STATION,NAME,TAVG,TMAX,TMIN
0,2020-01-01,IN001080500,"BEGUMPET OBSERVATORY, IN",24.1,,20
1,2020-01-02,IN001080500,"BEGUMPET OBSERVATORY, IN",24.4,,20.4
2,2020-01-03,IN001080500,"BEGUMPET OBSERVATORY, IN",24.4,29.2,19.9
3,2020-01-04,IN001080500,"BEGUMPET OBSERVATORY, IN",23.7,,20
4,2020-01-05,IN001080500,"BEGUMPET OBSERVATORY, IN",23.3,27.9,18.2
5,2020-01-06,IN001080500,"BEGUMPET OBSERVATORY, IN",23.5,28,17.7
6,2020-01-07,IN001080500,"BEGUMPET OBSERVATORY, IN",24.3,,19.5
7,2020-01-08,IN001080500,"BEGUMPET OBSERVATORY, IN",25.1,,20.9
8,2020-01-09,IN001080500,"BEGUMPET OBSERVATORY, IN",23.7,29.9,19.2
9,2020-01-10,IN001080500,"BEGUMPET OBSERVATORY, IN",23.3,27.8,
10,2020-01-11,IN001080500,"BEGUMPET OBSERVATORY, IN",23,27.8,16.8
11,2020-01-12,IN001080500,"BEGUMPET OBSERVATORY, IN",23.2,,
12,2020-01-13,IN001080500,"BEGUMPET OBSERVATORY, IN",24.8,,
13,2020-01-14,IN001080500,"BEGUMPET OBSERVATORY, IN",24.3,32,
14,2020-01-15,IN001080500,"BEGUMPET OBSERVATORY, IN",23.9,30.7,17.9
15,2020-01-16,IN001080500,"BEGUMPET OBSERVATORY, IN",24.5,,17.8
16,2020-01-17,IN001080500,"BEGUMPET OBSERVATORY, IN",24.3,30,
17,2020-01-18,IN001080500,"BEGUMPET OBSERVATORY, IN",24.3,29.2,19.4
18,2020-01-19,IN001080500,"BEGUMPET OBSERVATORY, IN",25.8,,19.7
19,2020-01-20,IN001080500,"BEGUMPET OBSERVATORY, IN",25.7,31.7,
20,2020-01-21,IN001080500,"BEGUMPET OBSERVATORY, IN",25.4,30.6,20.1
21,2020-01-22,IN001080500,"BEGUMPET OBSERVATORY, IN",25,29.9,19.3
22,2020-01-23,IN001080500,"BEGUMPET OBSERVATORY, IN",23.9,29.8,17
23,2020-01-24,IN001080500,"BEGUMPET OBSERVATORY, IN",24.8,,15.8
24,2020-01-25,IN001080500,"BEGUMPET OBSERVATORY, IN",25.6,,17.6
25,2020-01-26,IN001080500,"BEGUMPET OBSERVATORY, IN",26.1,32,
26,2020-01-27,IN001080500,"BEGUMPET OBSERVATORY, IN",26.8,,17
27,2020-01-28,IN001080500,"BEGUMPET OBSERVATORY, IN",27.2,33.5,20.4
28,2020-01-29,IN001080500,"BEGUMPET OBSERVATORY, IN",26.8,32.9,20.7
29,2020-01-30,IN001080500,"BEGUMPET OBSERVATORY, IN",25.5,32,18.5
30,2020-01-31,IN001080500,"BEGUMPET OBSERVATORY, IN",25.3,31.4,18.3
31,2020-02-01,IN001080500,"BEGUMPET OBSERVATORY, IN",26,,19.4
32,2020-02-02,IN001080500,"BEGUMPET OBSERVATORY, IN",25.2,31.7,20.7
33,2020-02-03,IN001080500,"BEGUMPET OBSERVATORY, IN",25.4,,19.4
34,2020-02-04,IN001080500,"BEGUMPET OBSERVATORY, IN",27.2,,19.4
35,2020-02-05,IN001080500,"BEGUMPET OBSERVATORY, IN",26.9,32.2,19.8
36,2020-02-06,IN001080500,"BEGUMPET OBSERVATORY, IN",27.5,,19.4
37,2020-02-07,IN001080500,"BEGUMPET OBSERVATORY, IN",27.1,,20.4
38,2020-02-08,IN001080500,"BEGUMPET OBSERVATORY, IN",24.9,32.6,
39,2020-02-09,IN001080500,"BEGUMPET OBSERVATORY, IN",21.1,29.2,19
40,2020-02-10,IN001080500,"BEGUMPET OBSERVATORY, IN",22.8,,18.9
41,2020-02-11,IN001080500,"BEGUMPET OBSERVATORY, IN",24.1,,20
42,2020-02-12,IN001080500,"BEGUMPET OBSERVATORY, IN",24.5,,19.6
