"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN018103100","PATIALA, IN","1990-01-01","50","58","46"
"IN018103100","PATIALA, IN","1990-01-02","44","53","41"
"IN018103100","PATIALA, IN","1990-01-03","46","55","41"
"IN018103100","PATIALA, IN","1990-01-04","49","54",
"IN018103100","PATIALA, IN","1990-01-05","53",,"45"
"IN018103100","PATIALA, IN","1990-01-06","54","65","46"
"IN018103100","PATIALA, IN","1990-01-07","49","57","45"
"IN018103100","PATIALA, IN","1990-01-08","53","61","49"
"IN018103100","PATIALA, IN","1990-01-09","53","66","46"
"IN018103100","PATIALA, IN","1990-01-10","58","69","47"
"IN018103100","PATIALA, IN","1990-01-11","60",,
"IN018103100","PATIALA, IN","1990-01-12","60","74","48"
"IN018103100","PATIALA, IN","1990-01-13","57","71","48"
"IN018103100","PATIALA, IN","1990-01-14","55","72","49"
"IN018103100","PATIALA, IN","1990-01-15","56","70","46"
"IN018103100","PATIALA, IN","1990-01-16","54","72","44"
"IN018103100","PATIALA, IN","1990-01-17","61","74","48"
"IN018103100","PATIALA, IN","1990-01-18","62","75",
"IN018103100","PATIALA, IN","1990-01-19","61","74","53"
"IN018103100","PATIALA, IN","1990-01-20","61","73","54"
"IN018103100","PATIALA, IN","1990-01-21","64","76","54"
"IN018103100","PATIALA, IN","1990-01-23","62","72","52"
"IN018103100","PATIALA, IN","1990-01-24","61","73",
"IN018103100","PATIALA, IN","1990-01-25","58",,"46"
"IN018103100","PATIALA, IN","1990-01-26","59",,"48"
"IN018103100","PATIALA, IN","1990-01-28","61","71",
"IN018103100","PATIALA, IN","1990-01-29","55","67","45"
"IN018103100","PATIALA, IN","1990-01-30","56",,"47"
"IN018103100","PATIALA, IN","1990-02-01","61",,
"IN018103100","PATIALA, IN","1990-02-02","54","67","44"
"IN018103100","PATIALA, IN","1990-02-03","58","69",
"IN018103100","PATIALA, IN","1990-02-04","55","71",
"IN018103100","PATIALA, IN","1990-02-05","58","73","49"
"IN018103100","PATIALA, IN","1990-02-07","63",,"56"
